date,brand,platform,status,utm_source,utm_medium,utm_campaign,utm_content,url,post_summary,next_action
2026-05-17,FertilityFund,X,ready,x,organic,launch_day_1,ivf_cost_planning,https://fertilityfund.vercel.app/?utm_source=x&utm_medium=organic&utm_campaign=launch_day_1&utm_content=ivf_cost_planning,IVF cost planning is rarely one simple number; organize questions before calls,Publish from launcher
2026-05-17,FertilityFund,LinkedIn,ready,linkedin,organic,launch_day_1,ivf_cost_planning,https://fertilityfund.vercel.app/?utm_source=linkedin&utm_medium=organic&utm_campaign=launch_day_1&utm_content=ivf_cost_planning,IVF cost planning is rarely one simple number; organize questions before calls,Publish from launcher
2026-05-17,FertilityFund,Facebook,ready,facebook,organic,launch_day_1,ivf_cost_planning,https://fertilityfund.vercel.app/?utm_source=facebook&utm_medium=organic&utm_campaign=launch_day_1&utm_content=ivf_cost_planning,IVF cost planning is rarely one simple number; organize questions before calls,Publish from launcher
2026-05-17,FertilityFund,X,ready,x,organic,launch_day_1,employer_benefits_questions,https://fertilityfund.vercel.app/?utm_source=x&utm_medium=organic&utm_campaign=launch_day_1&utm_content=employer_benefits_questions,Employer fertility benefits questions checklist,Publish from launcher
2026-05-17,FertilityFund,LinkedIn,ready,linkedin,organic,launch_day_1,employer_benefits_questions,https://fertilityfund.vercel.app/?utm_source=linkedin&utm_medium=organic&utm_campaign=launch_day_1&utm_content=employer_benefits_questions,Employer fertility benefits questions checklist,Publish from launcher
2026-05-17,FertilityFund,Facebook,ready,facebook,organic,launch_day_1,employer_benefits_questions,https://fertilityfund.vercel.app/?utm_source=facebook&utm_medium=organic&utm_campaign=launch_day_1&utm_content=employer_benefits_questions,Employer fertility benefits questions checklist,Publish from launcher
2026-05-17,MaleGenesis,X,ready,x,organic,launch_day_1,male_fertility_questions,https://malegenesis.vercel.app/?utm_source=x&utm_medium=organic&utm_campaign=launch_day_1&utm_content=male_fertility_questions,Male fertility questions for clinician conversation,Publish from launcher
2026-05-17,MaleGenesis,LinkedIn,ready,linkedin,organic,launch_day_1,male_fertility_questions,https://malegenesis.vercel.app/?utm_source=linkedin&utm_medium=organic&utm_campaign=launch_day_1&utm_content=male_fertility_questions,Male fertility questions for clinician conversation,Publish from launcher
2026-05-17,MaleGenesis,Facebook,ready,facebook,organic,launch_day_1,male_fertility_questions,https://malegenesis.vercel.app/?utm_source=facebook&utm_medium=organic&utm_campaign=launch_day_1&utm_content=male_fertility_questions,Male fertility questions for clinician conversation,Publish from launcher
2026-05-17,IVFCompare,X,ready,x,organic,launch_day_1,clinic_comparison_questions,https://ivfcompare.vercel.app/?utm_source=x&utm_medium=organic&utm_campaign=launch_day_1&utm_content=clinic_comparison_questions,Clinic comparison questions before inquiry,Publish from launcher
2026-05-17,IVFCompare,LinkedIn,ready,linkedin,organic,launch_day_1,clinic_comparison_questions,https://ivfcompare.vercel.app/?utm_source=linkedin&utm_medium=organic&utm_campaign=launch_day_1&utm_content=clinic_comparison_questions,Clinic comparison questions before inquiry,Publish from launcher
2026-05-17,IVFCompare,Facebook,ready,facebook,organic,launch_day_1,clinic_comparison_questions,https://ivfcompare.vercel.app/?utm_source=facebook&utm_medium=organic&utm_campaign=launch_day_1&utm_content=clinic_comparison_questions,Clinic comparison questions before inquiry,Publish from launcher
